Table S2. Movement Data for GPS-Instrumented Stones on Racetrack Playa,,,,,,,,,,,,,,,,
Death Valley National Park,,,,,,,,,,,,,,,,
Stone Name: EOS; Location Designation: A3;  Mass: 16.6 Kg,,,,,,Stone Name: MAIA; Location Designation: A6;  Mass: 8.2 Kg,,,,,,Stone Name: FREYA; Location Designation: A11;  Mass: 15.4 Kg,,,,
"""Date""","""Time(UTC)""","""Lat(deg)""","""Long(deg)""","""Velocity(m/min)""",,"""Date"""," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min),,Date," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min)
12/4/13,19:07:28,36.673477,-117.5529604,5.147992,,12/4/13,19:07:22,36.674201,-117.5544973,5.26509,,12/20/2013,19:39:33,36.6758548,-117.5554315,2.191734
12/4/13,19:07:29,36.6734777,-117.5529599,5.158667,,12/4/13,19:07:23,36.6742017,-117.5544969,5.286091,,12/20/2013,19:39:34,36.6758551,-117.5554314,2.17141
12/4/13,19:07:30,36.6734784,-117.5529594,5.173926,,12/4/13,19:07:24,36.6742025,-117.5544964,5.315467,,12/20/2013,19:39:35,36.6758554,-117.5554312,2.15585
12/4/13,19:07:31,36.6734792,-117.552959,5.199922,,12/4/13,19:07:25,36.6742033,-117.5544959,5.33646,,12/20/2013,19:39:36,36.6758557,-117.555431,2.151106
12/4/13,19:07:32,36.6734799,-117.5529585,5.199922,,12/4/13,19:07:26,36.674204,-117.5544954,5.342773,,12/20/2013,19:39:37,36.675856,-117.5554308,2.130822
12/4/13,19:07:33,36.6734806,-117.5529581,5.235794,,12/4/13,19:07:27,36.6742047,-117.5544949,5.372149,,12/20/2013,19:39:38,36.6758563,-117.5554307,2.099646
12/4/13,19:07:34,36.6734814,-117.5529576,5.261848,,12/4/13,19:07:28,36.6742055,-117.5544944,5.372149,,12/20/2013,19:39:39,36.6758565,-117.5554305,2.084082
12/4/13,19:07:35,36.6734822,-117.5529571,5.261848,,12/4/13,19:07:29,36.6742062,-117.5544939,5.393141,,12/20/2013,19:39:40,36.6758568,-117.5554303,2.084082
12/4/13,19:07:36,36.6734829,-117.5529567,5.267294,,12/4/13,19:07:30,36.674207,-117.5544934,5.407841,,12/20/2013,19:39:41,36.6758571,-117.5554301,2.084082
12/4/13,19:07:37,36.6734836,-117.5529562,5.282501,,12/4/13,19:07:31,36.6742078,-117.5544929,5.435135,,12/20/2013,19:39:42,36.6758574,-117.5554299,2.084082
12/4/13,19:07:38,36.6734844,-117.5529558,5.308633,,12/4/13,19:07:32,36.6742085,-117.5544923,5.449823,,12/20/2013,19:39:43,36.6758577,-117.5554297,2.068536
12/4/13,19:07:39,36.6734852,-117.5529553,5.308633,,12/4/13,19:07:33,36.6742093,-117.5544918,5.464522,,12/20/2013,19:39:44,36.6758579,-117.5554295,2.068536
12/4/13,19:07:40,36.673486,-117.5529549,5.355518,,12/4/13,19:07:34,36.6742101,-117.5544913,5.470818,,12/20/2013,19:39:45,36.6758582,-117.5554293,2.068536
12/4/13,19:07:41,36.6734868,-117.5529543,5.355518,,12/4/13,19:07:35,36.6742108,-117.5544908,5.500216,,12/20/2013,19:39:46,36.6758585,-117.5554291,2.068536
12/4/13,19:07:42,36.6734876,-117.5529539,5.370682,,12/4/13,19:07:36,36.6742116,-117.5544903,5.514931,,12/20/2013,19:39:47,36.6758588,-117.5554289,2.053006
12/4/13,19:07:43,36.6734884,-117.5529535,5.391375,,12/4/13,19:07:37,36.6742124,-117.5544898,5.535913,,12/20/2013,19:39:48,36.675859,-117.5554287,2.048199
12/4/13,19:07:44,36.6734892,-117.5529531,5.412074,,12/4/13,19:07:38,36.6742132,-117.5544893,5.550633,,12/20/2013,19:39:49,36.6758593,-117.5554286,2.048199
12/4/13,19:07:45,36.67349,-117.5529526,5.417636,,12/4/13,19:07:39,36.674214,-117.5544888,5.571612,,12/20/2013,19:39:50,36.6758596,-117.5554284,2.048199
12/4/13,19:07:46,36.6734908,-117.5529522,5.459073,,12/4/13,19:07:40,36.6742148,-117.5544883,5.586338,,12/20/2013,19:39:51,36.6758599,-117.5554282,2.068536
12/4/13,19:07:47,36.6734916,-117.5529517,5.479799,,12/4/13,19:07:41,36.6742156,-117.5544878,5.607313,,12/20/2013,19:39:52,36.6758602,-117.555428,2.048199
12/4/13,19:07:48,36.6734925,-117.5529512,5.50053,,12/4/13,19:07:42,36.6742164,-117.5544872,5.628292,,12/20/2013,19:39:53,36.6758605,-117.5554279,2.043468
12/4/13,19:07:49,36.6734933,-117.5529507,5.515647,,12/4/13,19:07:43,36.6742172,-117.5544867,5.649274,,12/20/2013,19:39:54,36.6758608,-117.5554278,2.048199
12/4/13,19:07:50,36.6734941,-117.5529503,5.572223,,12/4/13,19:07:44,36.674218,-117.5544862,5.663994,,12/20/2013,19:39:55,36.675861,-117.5554276,2.048199
12/4/13,19:07:51,36.673495,-117.5529498,5.592956,,12/4/13,19:07:45,36.6742188,-117.5544857,5.678724,,12/20/2013,19:39:56,36.6758613,-117.5554274,2.043468
12/4/13,19:07:52,36.6734958,-117.5529494,5.613693,,12/4/13,19:07:46,36.6742196,-117.5544852,5.699697,,12/20/2013,19:39:57,36.6758616,-117.5554273,2.043468
12/4/13,19:07:53,36.6734967,-117.5529489,5.634436,,12/4/13,19:07:47,36.6742204,-117.5544847,5.729178,,12/20/2013,19:39:58,36.6758619,-117.5554271,2.048199
12/4/13,19:07:54,36.6734975,-117.5529484,5.685381,,12/4/13,19:07:48,36.6742213,-117.5544842,5.750143,,12/20/2013,19:39:59,36.6758622,-117.5554269,2.027883
12/4/13,19:07:55,36.6734984,-117.552948,5.70612,,12/4/13,19:07:49,36.6742221,-117.5544837,5.762636,,12/20/2013,19:40:00,36.6758624,-117.5554268,2.043468
12/4/13,19:07:56,36.6734993,-117.5529475,5.747612,,12/4/13,19:07:50,36.6742229,-117.5544831,5.792083,,12/20/2013,19:40:01,36.6758627,-117.5554266,2.043468
12/4/13,19:07:57,36.6735002,-117.552947,5.777808,,12/4/13,19:07:51,36.6742238,-117.5544826,5.806822,,12/20/2013,19:40:02,36.675863,-117.5554264,2.027883
12/4/13,19:07:58,36.673501,-117.5529466,5.783452,,12/4/13,19:07:52,36.6742246,-117.5544821,5.806822,,12/20/2013,19:40:03,36.6758632,-117.5554263,2.273774
12/4/13,19:07:59,36.6735018,-117.5529461,5.809884,,12/4/13,19:07:53,36.6742254,-117.5544817,5.842535,,12/20/2013,19:40:04,36.6758635,-117.5554261,2.289581
12/4/13,19:08:00,36.6735026,-117.5529456,5.824959,,12/4/13,19:07:54,36.6742263,-117.5544811,5.857289,,12/20/2013,19:40:05,36.6758638,-117.555426,2.289581
12/4/13,19:08:01,36.6735035,-117.5529451,5.840042,,12/4/13,19:07:55,36.6742271,-117.5544806,5.872054,,12/20/2013,19:40:06,36.6758641,-117.5554258,2.273774
12/4/13,19:08:02,36.6735043,-117.5529446,5.845719,,12/4/13,19:07:56,36.6742279,-117.5544802,5.872054,,12/20/2013,19:40:07,36.6758643,-117.5554256,2.269593
